# Calculate animal product mass balances by GCAM region, commodity and year
# Adjusts global and regional net exports to remove net negative other uses
GCAM_region_ID,GCAM_commodity,year,Prod_Mt,NetExp_Mt,Supply_Mt,Food_Mt,OtherUses_Mt
1,Beef,1971,10.0720052,-0.8448741,10.9168793,10.9102226,0.0066567
1,Beef,1972,10.2375272,-0.8538245,11.0913517,11.0885642,0.0027875
1,Beef,1973,10.4712172,-0.8429079,11.3141251,11.3049816,0.0091435
1,Beef,1974,10.8680172,-0.8619047,11.7299219,11.7124672,0.0174547
1,Beef,1975,11.1621252,-0.8480492,12.0101744,11.994771,0.0154034
1,Beef,1976,11.455870000000001,-0.8613648,12.3172348,12.2971186,0.0201162
1,Beef,1977,11.297748,-0.9192759,12.2170239,12.1941878,0.0228361
1,Beef,1978,11.043294,-0.9381848,11.9814788,11.9621334,0.0193454
1,Beef,1979,10.680656,-0.9083212,11.5889772,11.579985,0.0089922
1,Beef,1980,10.396736,-0.9029754,11.2997114,11.2804166,0.0192948
1,Beef,1981,10.289598,-0.8607016,11.1502996,11.1337906,0.016509
1,Beef,1982,10.489998,-0.7823677,11.2723657,11.249263,0.0231027
1,Beef,1983,10.6894,-0.7611166,11.4505166,11.4268624,0.0236542
1,Beef,1984,10.8772,-0.7599698,11.6371698,11.6089526,0.0282172
1,Beef,1985,10.969,-0.7603229,11.7293229,11.7037012,0.0256217
1,Beef,1986,10.9956,-0.7751336,11.7707336,11.7411228,0.0296108
1,Beef,1987,10.9368,-0.7463168,11.6831168,11.656872,0.0262448
1,Beef,1988,10.8306,-0.7124988,11.5430988,11.5105324,0.0325664
1,Beef,1989,10.679,-0.685527,11.364527,11.3230258,0.0415012
1,Beef,1990,10.6246,-0.648905,11.273505,11.2251484,0.0483566
1,Beef,1991,10.5656,-0.5934506,11.1590506,11.095344,0.0637066
1,Beef,1992,10.6778,-0.5678252,11.2456252,11.169868,0.0757572
1,Beef,1993,10.9018,-0.4612237,11.3630237,11.2756288,0.0873949
1,Beef,1994,11.1448,-0.3695387,11.5143387,11.4360734,0.0782653
1,Beef,1995,11.3652,-0.2806754,11.6458754,11.5498664,0.096009
1,Beef,1996,11.609,-0.2190998,11.8280998,11.7567402,0.0713596
1,Beef,1997,11.7948,-0.2080388,12.0028388,11.9243908,0.078448
1,Beef,1998,11.9374,-0.2342642,12.1716642,12.0847936,0.0868706
1,Beef,1999,11.984,-0.2958498,12.2798498,12.1682914,0.1115584
1,Beef,2000,12.1266,-0.3448821,12.4714821,12.355264,0.1162181
1,Beef,2001,12.1738,-0.3505152,12.5243152,12.4108608,0.1134544
1,Beef,2002,11.976158,-0.59995,12.576108,12.4627348,0.1133732
1,Beef,2003,11.755762,-0.8437303,12.5994923,12.5063714,0.0931209
1,Beef,2004,11.731922,-0.9491917,12.6811137,12.5968854,0.0842283
1,Beef,2005,11.642396,-1.0300605,12.6724565,12.602177,0.0702795
1,Beef,2006,11.667194,-1.0515584,12.7187524,12.6254078,0.0933446
1,Beef,2007,11.818458,-0.8380714,12.6565294,12.5532698,0.10325960000000001
