# Consumption of commodities produced within-region
region,supplysector,subsector,technology,year,calOutputValue,share.weight.year,subs.share.weight,tech.share.weight
USA,regional corn,domestic corn,domestic corn,1975,115.1553837,1975,1,1
Africa_Eastern,regional corn,domestic corn,domestic corn,1975,4.0920494000000005,1975,1,1
Africa_Northern,regional corn,domestic corn,domestic corn,1975,3.0764874,1975,1,1
Africa_Southern,regional corn,domestic corn,domestic corn,1975,6.2685046,1975,1,1
Africa_Western,regional corn,domestic corn,domestic corn,1975,3.7976412,1975,1,1
Australia_NZ,regional corn,domestic corn,domestic corn,1975,0.29967999999999995,1975,1,1
Brazil,regional corn,domestic corn,domestic corn,1975,15.769479800000001,1975,1,1
Canada,regional corn,domestic corn,domestic corn,1975,3.66554,1975,1,1
Central America and Caribbean,regional corn,domestic corn,domestic corn,1975,2.3009224,1975,1,1
Central Asia,regional corn,domestic corn,domestic corn,1975,2.0839038,1975,1,1
China,regional corn,domestic corn,domestic corn,1975,45.3716738,1975,1,1
EU-12,regional corn,domestic corn,domestic corn,1975,19.1787131,1975,1,1
EU-15,regional corn,domestic corn,domestic corn,1975,18.1647722,1975,1,1
Europe_Eastern,regional corn,domestic corn,domestic corn,1975,4.9988834,1975,1,1
Europe_Non_EU,regional corn,domestic corn,domestic corn,1975,9.501691000000001,1975,1,1
European Free Trade Association,regional corn,domestic corn,domestic corn,1975,0.1258,1975,1,1
India,regional corn,domestic corn,domestic corn,1975,6.19054,1975,1,1
Indonesia,regional corn,domestic corn,domestic corn,1975,3.5060714,1975,1,1
Japan,regional corn,domestic corn,domestic corn,1975,0.316746,1975,1,1
Mexico,regional corn,domestic corn,domestic corn,1975,8.612158,1975,1,1
Middle East,regional corn,domestic corn,domestic corn,1975,0.1981204,1975,1,1
Pakistan,regional corn,domestic corn,domestic corn,1975,0.7803734,1975,1,1
Russia,regional corn,domestic corn,domestic corn,1975,3.0588127,1975,1,1
South Africa,regional corn,domestic corn,domestic corn,1975,6.484087000000001,1975,1,1
South America_Northern,regional corn,domestic corn,domestic corn,1975,0.575067,1975,1,1
South America_Southern,regional corn,domestic corn,domestic corn,1975,2.4058838,1975,1,1
South Asia,regional corn,domestic corn,domestic corn,1975,1.654444,1975,1,1
South Korea,regional corn,domestic corn,domestic corn,1975,0.0643036,1975,1,1
Southeast Asia,regional corn,domestic corn,domestic corn,1975,6.2764998,1975,1,1
Taiwan,regional corn,domestic corn,domestic corn,1975,0.1076738,1975,1,1
Argentina,regional corn,domestic corn,domestic corn,1975,4.059951300000001,1975,1,1
Colombia,regional corn,domestic corn,domestic corn,1975,0.77794,1975,1,1
USA,regional corn,domestic corn,domestic corn,1990,145.1053757,1990,1,1
Africa_Eastern,regional corn,domestic corn,domestic corn,1990,5.5231778,1990,1,1
Africa_Northern,regional corn,domestic corn,domestic corn,1990,5.072417,1990,1,1
Africa_Southern,regional corn,domestic corn,domestic corn,1990,7.592515,1990,1,1
Africa_Western,regional corn,domestic corn,domestic corn,1990,10.8184478,1990,1,1
Australia_NZ,regional corn,domestic corn,domestic corn,1990,0.480412,1990,1,1
Brazil,regional corn,domestic corn,domestic corn,1990,25.36354,1990,1,1
Canada,regional corn,domestic corn,domestic corn,1990,6.582594,1990,1,1
Central America and Caribbean,regional corn,domestic corn,domestic corn,1990,3.1696642,1990,1,1
Central Asia,regional corn,domestic corn,domestic corn,1990,2.3870851,1990,1,1
