# Regional exports of commodities that are traded between GCAM regions
region,supplysector,subsector,technology,year,calOutputValue,share.weight.year,subs.share.weight,tech.share.weight
USA,traded corn,USA traded corn,USA traded corn,1975,35.1123161,1975,1,1
USA,traded corn,Africa_Eastern traded corn,Africa_Eastern traded corn,1975,0.1030674,1975,1,1
USA,traded corn,Africa_Northern traded corn,Africa_Northern traded corn,1975,0,1975,0,0
USA,traded corn,Africa_Southern traded corn,Africa_Southern traded corn,1975,0.2674508,1975,1,1
USA,traded corn,Africa_Western traded corn,Africa_Western traded corn,1975,0,1975,0,0
USA,traded corn,Australia_NZ traded corn,Australia_NZ traded corn,1975,0.037467,1975,1,1
USA,traded corn,Brazil traded corn,Brazil traded corn,1975,0.9906402,1975,1,1
USA,traded corn,Canada traded corn,Canada traded corn,1975,0,1975,0,0
USA,traded corn,Central America and Caribbean traded corn,Central America and Caribbean traded corn,1975,0,1975,0,0
USA,traded corn,Central Asia traded corn,Central Asia traded corn,1975,0,1975,0,0
USA,traded corn,China traded corn,China traded corn,1975,0,1975,0,0
USA,traded corn,EU-12 traded corn,EU-12 traded corn,1975,0,1975,0,0
USA,traded corn,EU-15 traded corn,EU-15 traded corn,1975,0,1975,0,0
USA,traded corn,Europe_Eastern traded corn,Europe_Eastern traded corn,1975,0,1975,0,0
USA,traded corn,Europe_Non_EU traded corn,Europe_Non_EU traded corn,1975,0.2831833,1975,1,1
USA,traded corn,European Free Trade Association traded corn,European Free Trade Association traded corn,1975,0,1975,0,0
USA,traded corn,India traded corn,India traded corn,1975,0,1975,0,0
USA,traded corn,Indonesia traded corn,Indonesia traded corn,1975,0.0615286,1975,1,1
USA,traded corn,Japan traded corn,Japan traded corn,1975,0,1975,0,0
USA,traded corn,Mexico traded corn,Mexico traded corn,1975,0,1975,0,0
USA,traded corn,Middle East traded corn,Middle East traded corn,1975,0,1975,0,0
USA,traded corn,Pakistan traded corn,Pakistan traded corn,1975,0,1975,0,0
USA,traded corn,Russia traded corn,Russia traded corn,1975,0,1975,0,0
USA,traded corn,South Africa traded corn,South Africa traded corn,1975,2.057713,1975,1,1
USA,traded corn,South America_Northern traded corn,South America_Northern traded corn,1975,0,1975,0,0
USA,traded corn,South America_Southern traded corn,South America_Southern traded corn,1975,0,1975,0,0
USA,traded corn,South Asia traded corn,South Asia traded corn,1975,0,1975,0,0
USA,traded corn,South Korea traded corn,South Korea traded corn,1975,0,1975,0,0
USA,traded corn,Southeast Asia traded corn,Southeast Asia traded corn,1975,1.461762,1975,1,1
USA,traded corn,Taiwan traded corn,Taiwan traded corn,1975,0,1975,0,0
USA,traded corn,Argentina traded corn,Argentina traded corn,1975,4.2310487,1975,1,1
USA,traded corn,Colombia traded corn,Colombia traded corn,1975,0,1975,0,0
USA,traded corn,USA traded corn,USA traded corn,1990,48.1114163,1990,1,1
USA,traded corn,Africa_Eastern traded corn,Africa_Eastern traded corn,1990,0,1990,0,0
USA,traded corn,Africa_Northern traded corn,Africa_Northern traded corn,1990,0,1990,0,0
USA,traded corn,Africa_Southern traded corn,Africa_Southern traded corn,1990,0,1990,0,0
USA,traded corn,Africa_Western traded corn,Africa_Western traded corn,1990,0,1990,0,0
USA,traded corn,Australia_NZ traded corn,Australia_NZ traded corn,1990,0.001859,1990,1,1
USA,traded corn,Brazil traded corn,Brazil traded corn,1990,0,1990,0,0
USA,traded corn,Canada traded corn,Canada traded corn,1990,0,1990,0,0
USA,traded corn,Central America and Caribbean traded corn,Central America and Caribbean traded corn,1990,0,1990,0,0
USA,traded corn,Central Asia traded corn,Central Asia traded corn,1990,0,1990,0,0
USA,traded corn,China traded corn,China traded corn,1990,5.4985897,1990,1,1
USA,traded corn,EU-12 traded corn,EU-12 traded corn,1990,0,1990,0,0
USA,traded corn,EU-15 traded corn,EU-15 traded corn,1990,0,1990,0,0
USA,traded corn,Europe_Eastern traded corn,Europe_Eastern traded corn,1990,0,1990,0,0
USA,traded corn,Europe_Non_EU traded corn,Europe_Non_EU traded corn,1990,0.0703377,1990,1,1
USA,traded corn,European Free Trade Association traded corn,European Free Trade Association traded corn,1990,0,1990,0,0
USA,traded corn,India traded corn,India traded corn,1990,0,1990,0,0
USA,traded corn,Indonesia traded corn,Indonesia traded corn,1990,0.0104922,1990,1,1
USA,traded corn,Japan traded corn,Japan traded corn,1990,0,1990,0,0
USA,traded corn,Mexico traded corn,Mexico traded corn,1990,0,1990,0,0
USA,traded corn,Middle East traded corn,Middle East traded corn,1990,0,1990,0,0
USA,traded corn,Pakistan traded corn,Pakistan traded corn,1990,0,1990,0,0
USA,traded corn,Russia traded corn,Russia traded corn,1990,0,1990,0,0
USA,traded corn,South Africa traded corn,South Africa traded corn,1990,0.512714,1990,1,1
USA,traded corn,South America_Northern traded corn,South America_Northern traded corn,1990,0,1990,0,0
USA,traded corn,South America_Southern traded corn,South America_Southern traded corn,1990,0,1990,0,0
USA,traded corn,South Asia traded corn,South Asia traded corn,1990,0,1990,0,0
USA,traded corn,South Korea traded corn,South Korea traded corn,1990,0,1990,0,0
USA,traded corn,Southeast Asia traded corn,Southeast Asia traded corn,1990,0,1990,0,0
USA,traded corn,Taiwan traded corn,Taiwan traded corn,1990,0,1990,0,0
USA,traded corn,Argentina traded corn,Argentina traded corn,1990,3.7619881,1990,1,1
USA,traded corn,Colombia traded corn,Colombia traded corn,1990,0,1990,0,0
USA,traded corn,USA traded corn,USA traded corn,2005,49.4957965,2005,1,1
USA,traded corn,Africa_Eastern traded corn,Africa_Eastern traded corn,2005,0,2005,0,0
USA,traded corn,Africa_Northern traded corn,Africa_Northern traded corn,2005,0,2005,0,0
USA,traded corn,Africa_Southern traded corn,Africa_Southern traded corn,2005,0,2005,0,0
USA,traded corn,Africa_Western traded corn,Africa_Western traded corn,2005,0,2005,0,0
USA,traded corn,Australia_NZ traded corn,Australia_NZ traded corn,2005,0,2005,0,0
USA,traded corn,Brazil traded corn,Brazil traded corn,2005,4.1306807,2005,1,1
USA,traded corn,Canada traded corn,Canada traded corn,2005,0,2005,0,0
USA,traded corn,Central America and Caribbean traded corn,Central America and Caribbean traded corn,2005,0,2005,0,0
USA,traded corn,Central Asia traded corn,Central Asia traded corn,2005,0,2005,0,0
USA,traded corn,China traded corn,China traded corn,2005,7.1197493,2005,1,1
USA,traded corn,EU-12 traded corn,EU-12 traded corn,2005,2.087717,2005,1,1
USA,traded corn,EU-15 traded corn,EU-15 traded corn,2005,0,2005,0,0
USA,traded corn,Europe_Eastern traded corn,Europe_Eastern traded corn,2005,1.3666496,2005,1,1
USA,traded corn,Europe_Non_EU traded corn,Europe_Non_EU traded corn,2005,0,2005,0,0
USA,traded corn,European Free Trade Association traded corn,European Free Trade Association traded corn,2005,0,2005,0,0
USA,traded corn,India traded corn,India traded corn,2005,1.083658,2005,1,1
USA,traded corn,Indonesia traded corn,Indonesia traded corn,2005,0,2005,0,0
USA,traded corn,Japan traded corn,Japan traded corn,2005,0,2005,0,0
USA,traded corn,Mexico traded corn,Mexico traded corn,2005,0,2005,0,0
USA,traded corn,Middle East traded corn,Middle East traded corn,2005,0,2005,0,0
USA,traded corn,Pakistan traded corn,Pakistan traded corn,2005,0,2005,0,0
USA,traded corn,Russia traded corn,Russia traded corn,2005,0,2005,0,0
USA,traded corn,South Africa traded corn,South Africa traded corn,2005,0.2335308,2005,1,1
USA,traded corn,South America_Northern traded corn,South America_Northern traded corn,2005,0,2005,0,0
USA,traded corn,South America_Southern traded corn,South America_Southern traded corn,2005,0,2005,0,0
USA,traded corn,South Asia traded corn,South Asia traded corn,2005,0,2005,0,0
USA,traded corn,South Korea traded corn,South Korea traded corn,2005,0,2005,0,0
USA,traded corn,Southeast Asia traded corn,Southeast Asia traded corn,2005,0,2005,0,0
USA,traded corn,Taiwan traded corn,Taiwan traded corn,2005,0,2005,0,0
USA,traded corn,Argentina traded corn,Argentina traded corn,2005,12.2471968,2005,1,1
USA,traded corn,Colombia traded corn,Colombia traded corn,2005,0,2005,0,0
USA,traded corn,USA traded corn,USA traded corn,2010,45.3258185,2010,1,1
USA,traded corn,Africa_Eastern traded corn,Africa_Eastern traded corn,2010,0,2010,0,0
USA,traded corn,Africa_Northern traded corn,Africa_Northern traded corn,2010,0,2010,0,0
USA,traded corn,Africa_Southern traded corn,Africa_Southern traded corn,2010,0,2010,0,0
USA,traded corn,Africa_Western traded corn,Africa_Western traded corn,2010,0,2010,0,0
USA,traded corn,Australia_NZ traded corn,Australia_NZ traded corn,2010,0,2010,0,0
USA,traded corn,Brazil traded corn,Brazil traded corn,2010,10.1355671,2010,1,1
USA,traded corn,Canada traded corn,Canada traded corn,2010,0,2010,0,0
USA,traded corn,Central America and Caribbean traded corn,Central America and Caribbean traded corn,2010,0,2010,0,0
USA,traded corn,Central Asia traded corn,Central Asia traded corn,2010,0,2010,0,0
USA,traded corn,China traded corn,China traded corn,2010,0.3335084,2010,1,1
USA,traded corn,EU-12 traded corn,EU-12 traded corn,2010,5.3633215,2010,1,1
USA,traded corn,EU-15 traded corn,EU-15 traded corn,2010,0,2010,0,0
USA,traded corn,Europe_Eastern traded corn,Europe_Eastern traded corn,2010,7.1037943,2010,1,1
USA,traded corn,Europe_Non_EU traded corn,Europe_Non_EU traded corn,2010,0.8303707,2010,1,1
USA,traded corn,European Free Trade Association traded corn,European Free Trade Association traded corn,2010,0,2010,0,0
USA,traded corn,India traded corn,India traded corn,2010,3.4300997,2010,1,1
USA,traded corn,Indonesia traded corn,Indonesia traded corn,2010,0,2010,0,0
USA,traded corn,Japan traded corn,Japan traded corn,2010,0,2010,0,0
USA,traded corn,Mexico traded corn,Mexico traded corn,2010,0,2010,0,0
USA,traded corn,Middle East traded corn,Middle East traded corn,2010,0,2010,0,0
USA,traded corn,Pakistan traded corn,Pakistan traded corn,2010,0.182558,2010,1,1
USA,traded corn,Russia traded corn,Russia traded corn,2010,0.7574001,2010,1,1
USA,traded corn,South Africa traded corn,South Africa traded corn,2010,1.5737434,2010,1,1
USA,traded corn,South America_Northern traded corn,South America_Northern traded corn,2010,0,2010,0,0
USA,traded corn,South America_Southern traded corn,South America_Southern traded corn,2010,0,2010,0,0
USA,traded corn,South Asia traded corn,South Asia traded corn,2010,0,2010,0,0
USA,traded corn,South Korea traded corn,South Korea traded corn,2010,0,2010,0,0
USA,traded corn,Southeast Asia traded corn,Southeast Asia traded corn,2010,0,2010,0,0
USA,traded corn,Taiwan traded corn,Taiwan traded corn,2010,0,2010,0,0
USA,traded corn,Argentina traded corn,Argentina traded corn,2010,14.9739208,2010,1,1
USA,traded corn,Colombia traded corn,Colombia traded corn,2010,0,2010,0,0
USA,traded corn,USA traded corn,USA traded corn,2015,31.806689400000003,2015,1,1
USA,traded corn,Africa_Eastern traded corn,Africa_Eastern traded corn,2015,0.0665046,2015,1,1
USA,traded corn,Africa_Northern traded corn,Africa_Northern traded corn,2015,0.09882679999999999,2015,1,1
USA,traded corn,Africa_Southern traded corn,Africa_Southern traded corn,2015,0.2624286,2015,1,1
USA,traded corn,Africa_Western traded corn,Africa_Western traded corn,2015,0.0017365999999999998,2015,1,1
USA,traded corn,Australia_NZ traded corn,Australia_NZ traded corn,2015,0.1186802,2015,1,1
USA,traded corn,Brazil traded corn,Brazil traded corn,2015,19.842462200000003,2015,1,1
USA,traded corn,Canada traded corn,Canada traded corn,2015,1.6927059999999998,2015,1,1
USA,traded corn,Central America and Caribbean traded corn,Central America and Caribbean traded corn,2015,0.0362206,2015,1,1
USA,traded corn,Central Asia traded corn,Central Asia traded corn,2015,0.013893599999999999,2015,1,1
USA,traded corn,China traded corn,China traded corn,2015,1.0667152,2015,1,1
USA,traded corn,EU-12 traded corn,EU-12 traded corn,2015,8.1723026,2015,1,1
USA,traded corn,EU-15 traded corn,EU-15 traded corn,2015,2.4324836,2015,1,1
USA,traded corn,Europe_Eastern traded corn,Europe_Eastern traded corn,2015,15.096115200000003,2015,1,1
USA,traded corn,Europe_Non_EU traded corn,Europe_Non_EU traded corn,2015,3.1115861000000002,2015,1,1
USA,traded corn,European Free Trade Association traded corn,European Free Trade Association traded corn,2015,0,2015,0,0
USA,traded corn,India traded corn,India traded corn,2015,4.461458599999999,2015,1,1
USA,traded corn,Indonesia traded corn,Indonesia traded corn,2015,0.07637179999999999,2015,1,1
USA,traded corn,Japan traded corn,Japan traded corn,2015,0.0032034,2015,1,1
USA,traded corn,Mexico traded corn,Mexico traded corn,2015,1.1673338,2015,1,1
USA,traded corn,Middle East traded corn,Middle East traded corn,2015,0.050856799999999994,2015,1,1
USA,traded corn,Pakistan traded corn,Pakistan traded corn,2015,0.39532750000000005,2015,1,1
USA,traded corn,Russia traded corn,Russia traded corn,2015,2.1388873000000004,2015,1,1
USA,traded corn,South Africa traded corn,South Africa traded corn,2015,1.9088715,2015,1,1
USA,traded corn,South America_Northern traded corn,South America_Northern traded corn,2015,7.206e-4,2015,1,1
USA,traded corn,South America_Southern traded corn,South America_Southern traded corn,2015,1.8444,2015,1,1
USA,traded corn,South Asia traded corn,South Asia traded corn,2015,0.0013174,2015,1,1
USA,traded corn,South Korea traded corn,South Korea traded corn,2015,0.062844,2015,1,1
USA,traded corn,Southeast Asia traded corn,Southeast Asia traded corn,2015,1.079837,2015,1,1
USA,traded corn,Taiwan traded corn,Taiwan traded corn,2015,0.007507,2015,1,1
USA,traded corn,Argentina traded corn,Argentina traded corn,2015,17.7605729,2015,1,1
USA,traded corn,Colombia traded corn,Colombia traded corn,2015,0.0171842,2015,1,1
USA,traded fibercrop,USA traded fibercrop,USA traded fibercrop,1975,1.3227717,1975,1,1
USA,traded fibercrop,Africa_Eastern traded fibercrop,Africa_Eastern traded fibercrop,1975,0.398437,1975,1,1
USA,traded fibercrop,Africa_Northern traded fibercrop,Africa_Northern traded fibercrop,1975,0.019227,1975,1,1
USA,traded fibercrop,Africa_Southern traded fibercrop,Africa_Southern traded fibercrop,1975,0.342882,1975,1,1
USA,traded fibercrop,Africa_Western traded fibercrop,Africa_Western traded fibercrop,1975,0.2026124,1975,1,1
USA,traded fibercrop,Australia_NZ traded fibercrop,Australia_NZ traded fibercrop,1975,0,1975,0,0
USA,traded fibercrop,Brazil traded fibercrop,Brazil traded fibercrop,1975,0.264645,1975,1,1
USA,traded fibercrop,Canada traded fibercrop,Canada traded fibercrop,1975,0,1975,0,0
USA,traded fibercrop,Central America and Caribbean traded fibercrop,Central America and Caribbean traded fibercrop,1975,0.3913248,1975,1,1
USA,traded fibercrop,Central Asia traded fibercrop,Central Asia traded fibercrop,1975,0.8000952,1975,1,1
USA,traded fibercrop,China traded fibercrop,China traded fibercrop,1975,0,1975,0,0
USA,traded fibercrop,EU-12 traded fibercrop,EU-12 traded fibercrop,1975,0,1975,0,0
USA,traded fibercrop,EU-15 traded fibercrop,EU-15 traded fibercrop,1975,0,1975,0,0
USA,traded fibercrop,Europe_Eastern traded fibercrop,Europe_Eastern traded fibercrop,1975,0,1975,0,0
USA,traded fibercrop,Europe_Non_EU traded fibercrop,Europe_Non_EU traded fibercrop,1975,0.3223004,1975,1,1
USA,traded fibercrop,European Free Trade Association traded fibercrop,European Free Trade Association traded fibercrop,1975,0,1975,0,0
USA,traded fibercrop,India traded fibercrop,India traded fibercrop,1975,0.1650471,1975,1,1
USA,traded fibercrop,Indonesia traded fibercrop,Indonesia traded fibercrop,1975,0,1975,0,0
USA,traded fibercrop,Japan traded fibercrop,Japan traded fibercrop,1975,0,1975,0,0
USA,traded fibercrop,Mexico traded fibercrop,Mexico traded fibercrop,1975,0.1159763,1975,1,1
USA,traded fibercrop,Middle East traded fibercrop,Middle East traded fibercrop,1975,0.0839888,1975,1,1
USA,traded fibercrop,Pakistan traded fibercrop,Pakistan traded fibercrop,1975,0.0924838,1975,1,1
USA,traded fibercrop,Russia traded fibercrop,Russia traded fibercrop,1975,0,1975,0,0
USA,traded fibercrop,South Africa traded fibercrop,South Africa traded fibercrop,1975,0,1975,0,0
USA,traded fibercrop,South America_Northern traded fibercrop,South America_Northern traded fibercrop,1975,0,1975,0,0
USA,traded fibercrop,South America_Southern traded fibercrop,South America_Southern traded fibercrop,1975,0.0790539,1975,1,1
USA,traded fibercrop,South Asia traded fibercrop,South Asia traded fibercrop,1975,0.5275849,1975,1,1
