# We remove any regions for which agriculture and land use are not modeled.
region,supplysector,subsector,logit.year.fillout,logit.exponent,year.fillout,share.weight,apply.to,from.year,to.year,interpolation.function,logit.type
USA,regional corn,domestic corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Africa_Eastern,regional corn,domestic corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Africa_Northern,regional corn,domestic corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Africa_Southern,regional corn,domestic corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Africa_Western,regional corn,domestic corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Australia_NZ,regional corn,domestic corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Brazil,regional corn,domestic corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Canada,regional corn,domestic corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Central America and Caribbean,regional corn,domestic corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Central Asia,regional corn,domestic corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
China,regional corn,domestic corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
EU-12,regional corn,domestic corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
EU-15,regional corn,domestic corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Europe_Eastern,regional corn,domestic corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Europe_Non_EU,regional corn,domestic corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
European Free Trade Association,regional corn,domestic corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
India,regional corn,domestic corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Indonesia,regional corn,domestic corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Japan,regional corn,domestic corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Mexico,regional corn,domestic corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Middle East,regional corn,domestic corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Pakistan,regional corn,domestic corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Russia,regional corn,domestic corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
South Africa,regional corn,domestic corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
South America_Northern,regional corn,domestic corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
South America_Southern,regional corn,domestic corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
South Asia,regional corn,domestic corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
South Korea,regional corn,domestic corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Southeast Asia,regional corn,domestic corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Taiwan,regional corn,domestic corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Argentina,regional corn,domestic corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Colombia,regional corn,domestic corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,regional corn,imported corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Africa_Eastern,regional corn,imported corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Africa_Northern,regional corn,imported corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Africa_Southern,regional corn,imported corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Africa_Western,regional corn,imported corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Australia_NZ,regional corn,imported corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Brazil,regional corn,imported corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Canada,regional corn,imported corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Central America and Caribbean,regional corn,imported corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Central Asia,regional corn,imported corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
China,regional corn,imported corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
EU-12,regional corn,imported corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
EU-15,regional corn,imported corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Europe_Eastern,regional corn,imported corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Europe_Non_EU,regional corn,imported corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
European Free Trade Association,regional corn,imported corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
India,regional corn,imported corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Indonesia,regional corn,imported corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Japan,regional corn,imported corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Mexico,regional corn,imported corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Middle East,regional corn,imported corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Pakistan,regional corn,imported corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Russia,regional corn,imported corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
South Africa,regional corn,imported corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
South America_Northern,regional corn,imported corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
South America_Southern,regional corn,imported corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
South Asia,regional corn,imported corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
South Korea,regional corn,imported corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Southeast Asia,regional corn,imported corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Taiwan,regional corn,imported corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Argentina,regional corn,imported corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Colombia,regional corn,imported corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,regional fibercrop,domestic fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Africa_Eastern,regional fibercrop,domestic fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Africa_Northern,regional fibercrop,domestic fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Africa_Southern,regional fibercrop,domestic fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Africa_Western,regional fibercrop,domestic fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Australia_NZ,regional fibercrop,domestic fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Brazil,regional fibercrop,domestic fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Canada,regional fibercrop,domestic fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Central America and Caribbean,regional fibercrop,domestic fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Central Asia,regional fibercrop,domestic fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
China,regional fibercrop,domestic fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
EU-12,regional fibercrop,domestic fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
EU-15,regional fibercrop,domestic fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Europe_Eastern,regional fibercrop,domestic fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Europe_Non_EU,regional fibercrop,domestic fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
European Free Trade Association,regional fibercrop,domestic fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
India,regional fibercrop,domestic fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Indonesia,regional fibercrop,domestic fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Japan,regional fibercrop,domestic fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Mexico,regional fibercrop,domestic fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Middle East,regional fibercrop,domestic fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Pakistan,regional fibercrop,domestic fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Russia,regional fibercrop,domestic fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
South Africa,regional fibercrop,domestic fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
South America_Northern,regional fibercrop,domestic fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
South America_Southern,regional fibercrop,domestic fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
South Asia,regional fibercrop,domestic fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
South Korea,regional fibercrop,domestic fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Southeast Asia,regional fibercrop,domestic fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Taiwan,regional fibercrop,domestic fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Argentina,regional fibercrop,domestic fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Colombia,regional fibercrop,domestic fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,regional fibercrop,imported fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Africa_Eastern,regional fibercrop,imported fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Africa_Northern,regional fibercrop,imported fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Africa_Southern,regional fibercrop,imported fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Africa_Western,regional fibercrop,imported fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Australia_NZ,regional fibercrop,imported fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Brazil,regional fibercrop,imported fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Canada,regional fibercrop,imported fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Central America and Caribbean,regional fibercrop,imported fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Central Asia,regional fibercrop,imported fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
China,regional fibercrop,imported fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
EU-12,regional fibercrop,imported fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
EU-15,regional fibercrop,imported fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Europe_Eastern,regional fibercrop,imported fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Europe_Non_EU,regional fibercrop,imported fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
European Free Trade Association,regional fibercrop,imported fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
India,regional fibercrop,imported fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Indonesia,regional fibercrop,imported fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Japan,regional fibercrop,imported fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Mexico,regional fibercrop,imported fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Middle East,regional fibercrop,imported fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Pakistan,regional fibercrop,imported fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Russia,regional fibercrop,imported fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
South Africa,regional fibercrop,imported fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
South America_Northern,regional fibercrop,imported fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
South America_Southern,regional fibercrop,imported fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
South Asia,regional fibercrop,imported fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
South Korea,regional fibercrop,imported fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Southeast Asia,regional fibercrop,imported fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Taiwan,regional fibercrop,imported fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Argentina,regional fibercrop,imported fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Colombia,regional fibercrop,imported fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,regional misccrop,domestic misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Africa_Eastern,regional misccrop,domestic misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Africa_Northern,regional misccrop,domestic misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Africa_Southern,regional misccrop,domestic misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Africa_Western,regional misccrop,domestic misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Australia_NZ,regional misccrop,domestic misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Brazil,regional misccrop,domestic misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Canada,regional misccrop,domestic misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Central America and Caribbean,regional misccrop,domestic misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Central Asia,regional misccrop,domestic misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
China,regional misccrop,domestic misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
