# We remove any regions for which agriculture and land use are not modeled.
region,supplysector,subsector,logit.year.fillout,logit.exponent,year.fillout,share.weight,apply.to,from.year,to.year,interpolation.function,logit.type
USA,traded corn,USA traded corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded corn,Africa_Eastern traded corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded corn,Africa_Northern traded corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded corn,Africa_Southern traded corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded corn,Africa_Western traded corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded corn,Australia_NZ traded corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded corn,Brazil traded corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded corn,Canada traded corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded corn,Central America and Caribbean traded corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded corn,Central Asia traded corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded corn,China traded corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded corn,EU-12 traded corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded corn,EU-15 traded corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded corn,Europe_Eastern traded corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded corn,Europe_Non_EU traded corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded corn,European Free Trade Association traded corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded corn,India traded corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded corn,Indonesia traded corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded corn,Japan traded corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded corn,Mexico traded corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded corn,Middle East traded corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded corn,Pakistan traded corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded corn,Russia traded corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded corn,South Africa traded corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded corn,South America_Northern traded corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded corn,South America_Southern traded corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded corn,South Asia traded corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded corn,South Korea traded corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded corn,Southeast Asia traded corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded corn,Taiwan traded corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded corn,Argentina traded corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded corn,Colombia traded corn,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded fibercrop,USA traded fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded fibercrop,Africa_Eastern traded fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded fibercrop,Africa_Northern traded fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded fibercrop,Africa_Southern traded fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded fibercrop,Africa_Western traded fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded fibercrop,Australia_NZ traded fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded fibercrop,Brazil traded fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded fibercrop,Canada traded fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded fibercrop,Central America and Caribbean traded fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded fibercrop,Central Asia traded fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded fibercrop,China traded fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded fibercrop,EU-12 traded fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded fibercrop,EU-15 traded fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded fibercrop,Europe_Eastern traded fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded fibercrop,Europe_Non_EU traded fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded fibercrop,European Free Trade Association traded fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded fibercrop,India traded fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded fibercrop,Indonesia traded fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded fibercrop,Japan traded fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded fibercrop,Mexico traded fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded fibercrop,Middle East traded fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded fibercrop,Pakistan traded fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded fibercrop,Russia traded fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded fibercrop,South Africa traded fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded fibercrop,South America_Northern traded fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded fibercrop,South America_Southern traded fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded fibercrop,South Asia traded fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded fibercrop,South Korea traded fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded fibercrop,Southeast Asia traded fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded fibercrop,Taiwan traded fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded fibercrop,Argentina traded fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded fibercrop,Colombia traded fibercrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded misccrop,USA traded misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded misccrop,Africa_Eastern traded misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded misccrop,Africa_Northern traded misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded misccrop,Africa_Southern traded misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded misccrop,Africa_Western traded misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded misccrop,Australia_NZ traded misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded misccrop,Brazil traded misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded misccrop,Canada traded misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded misccrop,Central America and Caribbean traded misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded misccrop,Central Asia traded misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded misccrop,China traded misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded misccrop,EU-12 traded misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded misccrop,EU-15 traded misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded misccrop,Europe_Eastern traded misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded misccrop,Europe_Non_EU traded misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded misccrop,European Free Trade Association traded misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded misccrop,India traded misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded misccrop,Indonesia traded misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded misccrop,Japan traded misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded misccrop,Mexico traded misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded misccrop,Middle East traded misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded misccrop,Pakistan traded misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded misccrop,Russia traded misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded misccrop,South Africa traded misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded misccrop,South America_Northern traded misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded misccrop,South America_Southern traded misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded misccrop,South Asia traded misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded misccrop,South Korea traded misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded misccrop,Southeast Asia traded misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded misccrop,Taiwan traded misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded misccrop,Argentina traded misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded misccrop,Colombia traded misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded oilcrop,USA traded oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded oilcrop,Africa_Eastern traded oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded oilcrop,Africa_Northern traded oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded oilcrop,Africa_Southern traded oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded oilcrop,Africa_Western traded oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded oilcrop,Australia_NZ traded oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded oilcrop,Brazil traded oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded oilcrop,Canada traded oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded oilcrop,Central America and Caribbean traded oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded oilcrop,Central Asia traded oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded oilcrop,China traded oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded oilcrop,EU-12 traded oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded oilcrop,EU-15 traded oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded oilcrop,Europe_Eastern traded oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded oilcrop,Europe_Non_EU traded oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded oilcrop,European Free Trade Association traded oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded oilcrop,India traded oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded oilcrop,Indonesia traded oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded oilcrop,Japan traded oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded oilcrop,Mexico traded oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded oilcrop,Middle East traded oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded oilcrop,Pakistan traded oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded oilcrop,Russia traded oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded oilcrop,South Africa traded oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded oilcrop,South America_Northern traded oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded oilcrop,South America_Southern traded oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded oilcrop,South Asia traded oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded oilcrop,South Korea traded oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded oilcrop,Southeast Asia traded oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded oilcrop,Taiwan traded oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded oilcrop,Argentina traded oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded oilcrop,Colombia traded oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded othergrain,USA traded othergrain,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded othergrain,Africa_Eastern traded othergrain,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded othergrain,Africa_Northern traded othergrain,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded othergrain,Africa_Southern traded othergrain,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded othergrain,Africa_Western traded othergrain,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded othergrain,Australia_NZ traded othergrain,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded othergrain,Brazil traded othergrain,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded othergrain,Canada traded othergrain,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded othergrain,Central America and Caribbean traded othergrain,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded othergrain,Central Asia traded othergrain,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,traded othergrain,China traded othergrain,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
