# We remove any regions for which agriculture and land use are not modeled.
region,supplysector,subsector,technology,year,share.weight
USA,regional corn,domestic corn,domestic corn,1975,1
Africa_Eastern,regional corn,domestic corn,domestic corn,1975,1
Africa_Northern,regional corn,domestic corn,domestic corn,1975,1
Africa_Southern,regional corn,domestic corn,domestic corn,1975,1
Africa_Western,regional corn,domestic corn,domestic corn,1975,1
Australia_NZ,regional corn,domestic corn,domestic corn,1975,1
Brazil,regional corn,domestic corn,domestic corn,1975,1
Canada,regional corn,domestic corn,domestic corn,1975,1
Central America and Caribbean,regional corn,domestic corn,domestic corn,1975,1
Central Asia,regional corn,domestic corn,domestic corn,1975,1
China,regional corn,domestic corn,domestic corn,1975,1
EU-12,regional corn,domestic corn,domestic corn,1975,1
EU-15,regional corn,domestic corn,domestic corn,1975,1
Europe_Eastern,regional corn,domestic corn,domestic corn,1975,1
Europe_Non_EU,regional corn,domestic corn,domestic corn,1975,1
European Free Trade Association,regional corn,domestic corn,domestic corn,1975,1
India,regional corn,domestic corn,domestic corn,1975,1
Indonesia,regional corn,domestic corn,domestic corn,1975,1
Japan,regional corn,domestic corn,domestic corn,1975,1
Mexico,regional corn,domestic corn,domestic corn,1975,1
Middle East,regional corn,domestic corn,domestic corn,1975,1
Pakistan,regional corn,domestic corn,domestic corn,1975,1
Russia,regional corn,domestic corn,domestic corn,1975,1
South Africa,regional corn,domestic corn,domestic corn,1975,1
South America_Northern,regional corn,domestic corn,domestic corn,1975,1
South America_Southern,regional corn,domestic corn,domestic corn,1975,1
South Asia,regional corn,domestic corn,domestic corn,1975,1
South Korea,regional corn,domestic corn,domestic corn,1975,1
Southeast Asia,regional corn,domestic corn,domestic corn,1975,1
Taiwan,regional corn,domestic corn,domestic corn,1975,1
Argentina,regional corn,domestic corn,domestic corn,1975,1
Colombia,regional corn,domestic corn,domestic corn,1975,1
USA,regional corn,domestic corn,domestic corn,1990,1
Africa_Eastern,regional corn,domestic corn,domestic corn,1990,1
Africa_Northern,regional corn,domestic corn,domestic corn,1990,1
Africa_Southern,regional corn,domestic corn,domestic corn,1990,1
Africa_Western,regional corn,domestic corn,domestic corn,1990,1
Australia_NZ,regional corn,domestic corn,domestic corn,1990,1
Brazil,regional corn,domestic corn,domestic corn,1990,1
Canada,regional corn,domestic corn,domestic corn,1990,1
Central America and Caribbean,regional corn,domestic corn,domestic corn,1990,1
Central Asia,regional corn,domestic corn,domestic corn,1990,1
China,regional corn,domestic corn,domestic corn,1990,1
EU-12,regional corn,domestic corn,domestic corn,1990,1
EU-15,regional corn,domestic corn,domestic corn,1990,1
Europe_Eastern,regional corn,domestic corn,domestic corn,1990,1
Europe_Non_EU,regional corn,domestic corn,domestic corn,1990,1
European Free Trade Association,regional corn,domestic corn,domestic corn,1990,1
India,regional corn,domestic corn,domestic corn,1990,1
Indonesia,regional corn,domestic corn,domestic corn,1990,1
Japan,regional corn,domestic corn,domestic corn,1990,1
Mexico,regional corn,domestic corn,domestic corn,1990,1
Middle East,regional corn,domestic corn,domestic corn,1990,1
Pakistan,regional corn,domestic corn,domestic corn,1990,1
Russia,regional corn,domestic corn,domestic corn,1990,1
South Africa,regional corn,domestic corn,domestic corn,1990,1
South America_Northern,regional corn,domestic corn,domestic corn,1990,1
South America_Southern,regional corn,domestic corn,domestic corn,1990,1
South Asia,regional corn,domestic corn,domestic corn,1990,1
South Korea,regional corn,domestic corn,domestic corn,1990,1
Southeast Asia,regional corn,domestic corn,domestic corn,1990,1
Taiwan,regional corn,domestic corn,domestic corn,1990,1
Argentina,regional corn,domestic corn,domestic corn,1990,1
Colombia,regional corn,domestic corn,domestic corn,1990,1
USA,regional corn,domestic corn,domestic corn,2005,1
Africa_Eastern,regional corn,domestic corn,domestic corn,2005,1
Africa_Northern,regional corn,domestic corn,domestic corn,2005,1
Africa_Southern,regional corn,domestic corn,domestic corn,2005,1
Africa_Western,regional corn,domestic corn,domestic corn,2005,1
Australia_NZ,regional corn,domestic corn,domestic corn,2005,1
Brazil,regional corn,domestic corn,domestic corn,2005,1
Canada,regional corn,domestic corn,domestic corn,2005,1
Central America and Caribbean,regional corn,domestic corn,domestic corn,2005,1
Central Asia,regional corn,domestic corn,domestic corn,2005,1
China,regional corn,domestic corn,domestic corn,2005,1
EU-12,regional corn,domestic corn,domestic corn,2005,1
EU-15,regional corn,domestic corn,domestic corn,2005,1
Europe_Eastern,regional corn,domestic corn,domestic corn,2005,1
Europe_Non_EU,regional corn,domestic corn,domestic corn,2005,1
European Free Trade Association,regional corn,domestic corn,domestic corn,2005,1
India,regional corn,domestic corn,domestic corn,2005,1
Indonesia,regional corn,domestic corn,domestic corn,2005,1
Japan,regional corn,domestic corn,domestic corn,2005,1
Mexico,regional corn,domestic corn,domestic corn,2005,1
Middle East,regional corn,domestic corn,domestic corn,2005,1
Pakistan,regional corn,domestic corn,domestic corn,2005,1
Russia,regional corn,domestic corn,domestic corn,2005,1
South Africa,regional corn,domestic corn,domestic corn,2005,1
South America_Northern,regional corn,domestic corn,domestic corn,2005,1
South America_Southern,regional corn,domestic corn,domestic corn,2005,1
South Asia,regional corn,domestic corn,domestic corn,2005,1
South Korea,regional corn,domestic corn,domestic corn,2005,1
Southeast Asia,regional corn,domestic corn,domestic corn,2005,1
Taiwan,regional corn,domestic corn,domestic corn,2005,1
Argentina,regional corn,domestic corn,domestic corn,2005,1
Colombia,regional corn,domestic corn,domestic corn,2005,1
USA,regional corn,domestic corn,domestic corn,2010,1
Africa_Eastern,regional corn,domestic corn,domestic corn,2010,1
Africa_Northern,regional corn,domestic corn,domestic corn,2010,1
Africa_Southern,regional corn,domestic corn,domestic corn,2010,1
Africa_Western,regional corn,domestic corn,domestic corn,2010,1
Australia_NZ,regional corn,domestic corn,domestic corn,2010,1
Brazil,regional corn,domestic corn,domestic corn,2010,1
Canada,regional corn,domestic corn,domestic corn,2010,1
Central America and Caribbean,regional corn,domestic corn,domestic corn,2010,1
Central Asia,regional corn,domestic corn,domestic corn,2010,1
China,regional corn,domestic corn,domestic corn,2010,1
EU-12,regional corn,domestic corn,domestic corn,2010,1
EU-15,regional corn,domestic corn,domestic corn,2010,1
Europe_Eastern,regional corn,domestic corn,domestic corn,2010,1
Europe_Non_EU,regional corn,domestic corn,domestic corn,2010,1
European Free Trade Association,regional corn,domestic corn,domestic corn,2010,1
India,regional corn,domestic corn,domestic corn,2010,1
Indonesia,regional corn,domestic corn,domestic corn,2010,1
Japan,regional corn,domestic corn,domestic corn,2010,1
Mexico,regional corn,domestic corn,domestic corn,2010,1
Middle East,regional corn,domestic corn,domestic corn,2010,1
Pakistan,regional corn,domestic corn,domestic corn,2010,1
Russia,regional corn,domestic corn,domestic corn,2010,1
South Africa,regional corn,domestic corn,domestic corn,2010,1
South America_Northern,regional corn,domestic corn,domestic corn,2010,1
South America_Southern,regional corn,domestic corn,domestic corn,2010,1
South Asia,regional corn,domestic corn,domestic corn,2010,1
South Korea,regional corn,domestic corn,domestic corn,2010,1
Southeast Asia,regional corn,domestic corn,domestic corn,2010,1
Taiwan,regional corn,domestic corn,domestic corn,2010,1
